Sample Name	Protocol REF	Parameter Value[FHB]	Unit	Term Source REF	Parameter Value[DTR]	Unit	Term Source REF	Parameter Value[SEP]	Unit	Term Source REF
sample_1079	Phenotyping	11.4444444444444	score	UO		score	UO		score	UO
sample_108	Phenotyping	52.0	score	UO		score	UO		score	UO
sample_1080	Phenotyping	12.5888888888889	score	UO		score	UO		score	UO
sample_1081	Phenotyping	3.36111111111111	score	UO		score	UO		score	UO
sample_1082	Phenotyping	6.55	score	UO		score	UO		score	UO
sample_1083	Phenotyping	3.69444444444444	score	UO		score	UO		score	UO
sample_1084	Phenotyping	3.16666666666667	score	UO		score	UO		score	UO
sample_1085	Phenotyping	6.54444444444444	score	UO		score	UO		score	UO
sample_1086	Phenotyping	9.68333333333333	score	UO		score	UO		score	UO
sample_1087	Phenotyping	1.61777777777778	score	UO		score	UO		score	UO
sample_1088	Phenotyping	1.90555555555556	score	UO		score	UO		score	UO
sample_1089	Phenotyping	4.01111111111111	score	UO		score	UO		score	UO
sample_109	Phenotyping	12.0	score	UO		score	UO		score	UO
sample_1090	Phenotyping	1.26388888888889	score	UO		score	UO		score	UO
sample_1091	Phenotyping	0.6	score	UO		score	UO		score	UO
sample_1092	Phenotyping	0.746666666666667	score	UO		score	UO		score	UO
sample_1093	Phenotyping	11.6666666666667	score	UO		score	UO		score	UO
sample_1094	Phenotyping	10.6666666666667	score	UO		score	UO		score	UO
sample_1095	Phenotyping	16.8666666666667	score	UO		score	UO		score	UO
sample_1096	Phenotyping	1.76777777777778	score	UO		score	UO		score	UO
sample_1097	Phenotyping	1.55555555555556	score	UO		score	UO		score	UO
sample_1098	Phenotyping	1.77777777777778	score	UO		score	UO		score	UO
sample_1099	Phenotyping	20.9444444444444	score	UO		score	UO		score	UO
sample_11	Phenotyping	4.0	score	UO		score	UO		score	UO
sample_110	Phenotyping	7.70666666666667	score	UO		score	UO		score	UO
sample_1100	Phenotyping	16.8822222222222	score	UO		score	UO		score	UO
sample_1101	Phenotyping	28.7777777777778	score	UO		score	UO		score	UO
sample_1102	Phenotyping	2.88166666666667	score	UO		score	UO		score	UO
sample_1103	Phenotyping	6.66666666666667	score	UO		score	UO		score	UO
sample_1104	Phenotyping	3.13333333333333	score	UO		score	UO		score	UO
sample_1105	Phenotyping	0.533333333333333	score	UO		score	UO		score	UO
sample_1106	Phenotyping	1.58888888888889	score	UO		score	UO		score	UO
sample_1107	Phenotyping	0.7	score	UO		score	UO		score	UO
sample_1108	Phenotyping	0.373333333333333	score	UO		score	UO		score	UO
sample_1109	Phenotyping	0.430555555555556	score	UO		score	UO		score	UO
sample_111	Phenotyping	12.2222222222222	score	UO		score	UO		score	UO
sample_1110	Phenotyping	0.696666666666667	score	UO		score	UO		score	UO
sample_1111	Phenotyping	2.06833333333333	score	UO		score	UO		score	UO
sample_1112	Phenotyping	4.05	score	UO		score	UO		score	UO
sample_1113	Phenotyping	3.47111111111111	score	UO		score	UO		score	UO
sample_1114	Phenotyping	3.28888888888889	score	UO		score	UO		score	UO
sample_1115	Phenotyping	2.31111111111111	score	UO		score	UO		score	UO
sample_1116	Phenotyping	2.72222222222222	score	UO		score	UO		score	UO
sample_1117	Phenotyping	1.73333333333333	score	UO		score	UO		score	UO
sample_1118	Phenotyping	3.34444444444444	score	UO		score	UO		score	UO
sample_1119	Phenotyping	4.0	score	UO		score	UO		score	UO
sample_112	Phenotyping	15.4	score	UO		score	UO		score	UO
sample_1120	Phenotyping	14.1333333333333	score	UO		score	UO		score	UO
sample_1121	Phenotyping	22.5	score	UO		score	UO		score	UO
sample_1122	Phenotyping	22.2666666666667	score	UO		score	UO		score	UO
sample_1123	Phenotyping	3.67333333333333	score	UO		score	UO		score	UO
sample_1124	Phenotyping	4.36944444444445	score	UO		score	UO		score	UO
sample_1125	Phenotyping	6.38	score	UO		score	UO		score	UO
sample_1126	Phenotyping	8.97222222222222	score	UO		score	UO		score	UO
sample_1127	Phenotyping	7.60277777777778	score	UO		score	UO		score	UO
sample_1128	Phenotyping	23.6833333333333	score	UO		score	UO		score	UO
sample_1129	Phenotyping	0.977777777777778	score	UO		score	UO		score	UO
sample_113	Phenotyping	22.3888888888889	score	UO		score	UO		score	UO
sample_1130	Phenotyping	0.746666666666667	score	UO		score	UO		score	UO
sample_1131	Phenotyping	0.916666666666667	score	UO		score	UO		score	UO
sample_1132	Phenotyping	4.36666666666667	score	UO		score	UO		score	UO
sample_1133	Phenotyping	7.55555555555556	score	UO		score	UO		score	UO
sample_1134	Phenotyping	10.7	score	UO		score	UO		score	UO
sample_1135	Phenotyping	3.01022222222222	score	UO		score	UO		score	UO
sample_1136	Phenotyping	2.53333333333333	score	UO		score	UO		score	UO
sample_1137	Phenotyping	4.16888888888889	score	UO		score	UO		score	UO
sample_1138	Phenotyping	2.88888888888889	score	UO		score	UO		score	UO
sample_1139	Phenotyping	5.2	score	UO		score	UO		score	UO
sample_114	Phenotyping	22.6666666666667	score	UO		score	UO		score	UO
sample_1140	Phenotyping	5.01666666666667	score	UO		score	UO		score	UO
sample_1141	Phenotyping	1.55555555555556	score	UO		score	UO		score	UO
sample_1142	Phenotyping	2.0	score	UO		score	UO		score	UO
sample_1143	Phenotyping	1.46666666666667	score	UO		score	UO		score	UO
sample_1144	Phenotyping	9.91666666666667	score	UO		score	UO		score	UO
sample_1145	Phenotyping	6.77777777777778	score	UO		score	UO		score	UO
sample_1146	Phenotyping	8.55555555555556	score	UO		score	UO		score	UO
sample_1147	Phenotyping	1.65	score	UO		score	UO		score	UO
sample_1148	Phenotyping	3.20111111111111	score	UO		score	UO		score	UO
sample_1149	Phenotyping	3.79166666666667	score	UO		score	UO		score	UO
sample_115	Phenotyping	5.0	score	UO		score	UO		score	UO
sample_1150	Phenotyping	1.14333333333333	score	UO		score	UO		score	UO
sample_1151	Phenotyping	3.83333333333333	score	UO		score	UO		score	UO
sample_1152	Phenotyping	4.48888888888889	score	UO		score	UO		score	UO
sample_1153	Phenotyping	0.472222222222222	score	UO		score	UO		score	UO
sample_1154	Phenotyping	1.11111111111111	score	UO		score	UO		score	UO
sample_1155	Phenotyping	1.27777777777778	score	UO		score	UO		score	UO
sample_1156	Phenotyping	6.5	score	UO		score	UO		score	UO
sample_1157	Phenotyping	4.44	score	UO		score	UO		score	UO
sample_1158	Phenotyping	7.25777777777778	score	UO		score	UO		score	UO
sample_1159	Phenotyping	5.05555555555556	score	UO		score	UO		score	UO
sample_116	Phenotyping	12.2666666666667	score	UO		score	UO		score	UO
sample_1160	Phenotyping	4.38055555555556	score	UO		score	UO		score	UO
sample_1161	Phenotyping	9.7	score	UO		score	UO		score	UO
sample_1162	Phenotyping	27.3333333333333	score	UO		score	UO		score	UO
sample_1163	Phenotyping	41.5555555555556	score	UO		score	UO		score	UO
sample_1164	Phenotyping	50.6666666666667	score	UO		score	UO		score	UO
sample_1165	Phenotyping	8.59444444444444	score	UO		score	UO		score	UO
sample_1166	Phenotyping	6.43888888888889	score	UO		score	UO		score	UO
sample_1167	Phenotyping	12.1388888888889	score	UO		score	UO		score	UO
sample_1168	Phenotyping	2.53333333333333	score	UO		score	UO		score	UO
sample_1169	Phenotyping	2.75	score	UO		score	UO		score	UO
sample_117	Phenotyping	12.75	score	UO		score	UO		score	UO
sample_1170	Phenotyping	5.80555555555556	score	UO		score	UO		score	UO
sample_1171	Phenotyping	3.17777777777778	score	UO		score	UO		score	UO
sample_1172	Phenotyping	4.39555555555556	score	UO		score	UO		score	UO
sample_1173	Phenotyping	4.6	score	UO		score	UO		score	UO
sample_1174	Phenotyping	4.67444444444444	score	UO		score	UO		score	UO
sample_1175	Phenotyping	2.89333333333333	score	UO		score	UO		score	UO
sample_1176	Phenotyping	3.44	score	UO		score	UO		score	UO
sample_1177	Phenotyping	2.88888888888889	score	UO		score	UO		score	UO
sample_1178	Phenotyping	3.64722222222222	score	UO		score	UO		score	UO
sample_1179	Phenotyping	4.76944444444444	score	UO		score	UO		score	UO
sample_118	Phenotyping	34.0	score	UO		score	UO		score	UO
sample_1180	Phenotyping	1.94444444444444	score	UO		score	UO		score	UO
sample_1181	Phenotyping	1.15111111111111	score	UO		score	UO		score	UO
sample_1182	Phenotyping	1.02222222222222	score	UO		score	UO		score	UO
sample_1183	Phenotyping	1.525	score	UO		score	UO		score	UO
sample_1184	Phenotyping	5.83333333333333	score	UO		score	UO		score	UO
sample_1185	Phenotyping	6.04444444444444	score	UO		score	UO		score	UO
sample_1186	Phenotyping	3.75555555555556	score	UO		score	UO		score	UO
sample_1187	Phenotyping	4.35555555555556	score	UO		score	UO		score	UO
sample_1188	Phenotyping	7.8	score	UO		score	UO		score	UO
sample_1189	Phenotyping	9.50666666666667	score	UO		score	UO		score	UO
sample_119	Phenotyping	17.4222222222222	score	UO		score	UO		score	UO
sample_1190	Phenotyping	9.1	score	UO		score	UO		score	UO
sample_1191	Phenotyping	10.8	score	UO		score	UO		score	UO
sample_1192	Phenotyping	5.8	score	UO		score	UO		score	UO
sample_1193	Phenotyping	5.95	score	UO		score	UO		score	UO
sample_1194	Phenotyping	6.48	score	UO		score	UO		score	UO
sample_1195	Phenotyping	5.05555555555556	score	UO		score	UO		score	UO
sample_1196	Phenotyping	4.33333333333333	score	UO		score	UO		score	UO
sample_1197	Phenotyping	9.1	score	UO		score	UO		score	UO
sample_1198	Phenotyping	3.16666666666667	score	UO		score	UO		score	UO
sample_1199	Phenotyping	2.81888888888889	score	UO		score	UO		score	UO
sample_12	Phenotyping	7.58333333333333	score	UO		score	UO		score	UO
sample_120	Phenotyping	34.4444444444444	score	UO		score	UO		score	UO
sample_1200	Phenotyping	2.56388888888889	score	UO		score	UO		score	UO
sample_1201	Phenotyping	7.0	score	UO		score	UO	1.5	score	UO
sample_1202	Phenotyping	6.4	score	UO		score	UO	1.0	score	UO
sample_1203	Phenotyping	9.625	score	UO		score	UO	3.25	score	UO
sample_1204	Phenotyping	0.15	score	UO		score	UO	0.25	score	UO
sample_1205	Phenotyping	3.125	score	UO		score	UO	0.25	score	UO
sample_1206	Phenotyping	0.0175	score	UO		score	UO	1.0	score	UO
sample_1207	Phenotyping	15.4375	score	UO		score	UO	3.5	score	UO
sample_1208	Phenotyping	8.75	score	UO		score	UO	3.5	score	UO
sample_1209	Phenotyping	9.75	score	UO		score	UO	2.5	score	UO
sample_121	Phenotyping	27.75	score	UO		score	UO		score	UO
sample_1210	Phenotyping	2.30625	score	UO		score	UO	3.0	score	UO
sample_1211	Phenotyping	2.4375	score	UO		score	UO	3.0	score	UO
sample_1212	Phenotyping	1.25	score	UO		score	UO	6.75	score	UO
sample_1213	Phenotyping	3.15	score	UO		score	UO	1.0	score	UO
sample_1214	Phenotyping	0.7875	score	UO		score	UO	1.0	score	UO
sample_1215	Phenotyping	1.4	score	UO		score	UO	3.75	score	UO
sample_1216	Phenotyping	16.0	score	UO		score	UO	8.5	score	UO
sample_1217	Phenotyping	7.5	score	UO		score	UO	8.5	score	UO
sample_1218	Phenotyping	15.9375	score	UO		score	UO	4.75	score	UO
sample_1219	Phenotyping	0.1875	score	UO		score	UO	1.75	score	UO
sample_122	Phenotyping	35.0	score	UO		score	UO		score	UO
sample_1220	Phenotyping	0.35	score	UO		score	UO	1.75	score	UO
sample_1221	Phenotyping	0.025	score	UO		score	UO	2.25	score	UO
sample_1222	Phenotyping	11.725	score	UO		score	UO	1.0	score	UO
sample_1223	Phenotyping	10.4	score	UO		score	UO	1.0	score	UO
sample_1224	Phenotyping	13.125	score	UO		score	UO	1.0	score	UO
sample_1225	Phenotyping	4.8125	score	UO		score	UO	0.25	score	UO
sample_1226	Phenotyping	0.30625	score	UO		score	UO	0.25	score	UO
sample_1227	Phenotyping	2.1	score	UO		score	UO	1.0	score	UO
sample_1228	Phenotyping	5.5	score	UO		score	UO	2.5	score	UO
sample_1229	Phenotyping	0.525	score	UO		score	UO	2.5	score	UO
sample_123	Phenotyping	19.5555555555556	score	UO		score	UO		score	UO
sample_1230	Phenotyping	3.15	score	UO		score	UO	3.25	score	UO
sample_1231	Phenotyping	3.29	score	UO		score	UO	0.25	score	UO
sample_1232	Phenotyping	3.15	score	UO		score	UO	0.25	score	UO
sample_1233	Phenotyping	2.08	score	UO		score	UO	0.0	score	UO
sample_1234	Phenotyping	5.6875	score	UO		score	UO	2.75	score	UO
sample_1235	Phenotyping	7.875	score	UO		score	UO	2.75	score	UO
sample_1236	Phenotyping	6.75	score	UO		score	UO	0.5	score	UO
sample_1237	Phenotyping	5.3625	score	UO		score	UO	4.75	score	UO
sample_1238	Phenotyping	15.75	score	UO		score	UO	4.75	score	UO
sample_1239	Phenotyping	12.1875	score	UO		score	UO	3.75	score	UO
sample_124	Phenotyping	28.0	score	UO		score	UO		score	UO
sample_1240	Phenotyping	9.0	score	UO		score	UO	3.75	score	UO
sample_1241	Phenotyping	10.5	score	UO		score	UO	3.75	score	UO
sample_1242	Phenotyping	11.375	score	UO		score	UO	2.75	score	UO
sample_1243	Phenotyping	20.1875	score	UO		score	UO	12.5	score	UO
sample_1244	Phenotyping	10.5625	score	UO		score	UO	12.5	score	UO
sample_1245	Phenotyping	12.75	score	UO		score	UO	6.25	score	UO
sample_1246	Phenotyping	5.775	score	UO		score	UO	1.75	score	UO
sample_1247	Phenotyping	1.4875	score	UO		score	UO	1.75	score	UO
sample_1248	Phenotyping	8.4	score	UO		score	UO	2.0	score	UO
sample_1249	Phenotyping	8.25	score	UO		score	UO	12.25	score	UO
sample_125	Phenotyping	29.2777777777778	score	UO		score	UO		score	UO
sample_1250	Phenotyping	9.625	score	UO		score	UO	12.25	score	UO
sample_1251	Phenotyping	11.375	score	UO		score	UO	8.25	score	UO
